firstName,lastName,rank,aggregateField,departmentInfo
Emine,Bayman,Associate Professor,Life Sciences,Biostatistics
Patrick,Breheny,Professor,Life Sciences,Biostatistics
Grant,Brown,Associate Professor,Life Sciences,Biostatistics
Knute,Carter,Clinical Associate Professor,Life Sciences,Biostatistics
Joseph,Cavanaugh,Professor,Life Sciences,Biostatistics
Hyunkeun (Ryan),Cho,Associate Professor,Life Sciences,Biostatistics
Christopher,Coffey,Professor,Life Sciences,Biostatistics
Jeffrey,Dawson,Professor,Life Sciences,Biostatistics
Jacob,Oleson,Professor,Life Sciences,Biostatistics
Emily,Roberts,Assistant Professor,Life Sciences,Biostatistics
Daniel,Sewell,Associate Professor,Life Sciences,Biostatistics
Brian J.,Smith,Professor,Life Sciences,Biostatistics
Kai,Wang,Professor,Life Sciences,Biostatistics
Gideon K. D.,Zamba,Professor,Life Sciences,Biostatistics
M. Bridget,Zimmerman,Clinical Professor,Life Sciences,BiostatisticsfirstName,lastName,rank,aggregateField,departmentInfo
Emine,Bayman,Associate Professor Deputy Director of the Clinical Trials Statistical and Data Management Center,Life Sciences,Biostatistics
Patrick,Breheny,Professor,Life Sciences,Biostatistics
Grant,Brown,Associate Professor Faculty Council Chair,Life Sciences,Biostatistics
Knute,Carter,"Clinical Associate Professor Deputy Director of Statistics/Analytics Core, Institute for Public Health Practice, Research and Policy",Life Sciences,Biostatistics
Joseph,Cavanaugh,"Professor and Head, Department of Biostatistics",Life Sciences,Biostatistics
Hyunkeun (Ryan),Cho,Associate Professor,Life Sciences,Biostatistics
Christopher,Coffey,Professor Director of the Clinical Trials Statistical and Data Management Center,Life Sciences,Biostatistics
Jeffrey,Dawson,Associate Dean for Faculty Affairs Professor,Life Sciences,Biostatistics
Jacob,Oleson,"Professor Director of Graduate Studies Director of Statistics/Analytics Core, Institute for Public Health Practice, Research and Policy",Life Sciences,Biostatistics
Emily,Roberts,Assistant Professor,Life Sciences,Biostatistics
Daniel,Sewell,Associate Professor,Life Sciences,Biostatistics
Brian J.,Smith,"Professor Biostatistics Core Director, Holden Comprehensive Cancer Center",Life Sciences,Biostatistics
Kai,Wang,Professor,Life Sciences,Biostatistics
Gideon K. D.,Zamba,Professor Director of Iowa Summer Institute in Biostatistics,Life Sciences,Biostatistics
M. Bridget,Zimmerman,"Clinical Professor Director, Biostatistics Consulting Center",Life Sciences,Biostatistics
firstName,lastName,rank,aggregateField,departmentInfo
Emine,Bayman,Associate Professor Deputy Director of the Clinical Trials Statistical and Data Management Center,Life Sciences,Biostatistics
Patrick,Breheny,Professor,Life Sciences,Biostatistics
Grant,Brown,Associate Professor Faculty Council Chair,Life Sciences,Biostatistics
Knute,Carter,"Clinical Associate Professor Deputy Director of Statistics/Analytics Core, Institute for Public Health Practice, Research and Policy",Life Sciences,Biostatistics
Joseph,Cavanaugh,"Professor and Head, Department of Biostatistics",Life Sciences,Biostatistics
Hyunkeun (Ryan),Cho,Associate Professor,Life Sciences,Biostatistics
Christopher,Coffey,Professor Director of the Clinical Trials Statistical and Data Management Center,Life Sciences,Biostatistics
Jeffrey,Dawson,Associate Dean for Faculty Affairs Professor,Life Sciences,Biostatistics
Jacob,Oleson,"Professor Director of Graduate Studies Director of Statistics/Analytics Core, Institute for Public Health Practice, Research and Policy",Life Sciences,Biostatistics
Emily,Roberts,Assistant Professor,Life Sciences,Biostatistics
Daniel,Sewell,Associate Professor,Life Sciences,Biostatistics
Brian J.,Smith,"Professor Biostatistics Core Director, Holden Comprehensive Cancer Center",Life Sciences,Biostatistics
Kai,Wang,Professor,Life Sciences,Biostatistics
Gideon K. D.,Zamba,Professor Director of Iowa Summer Institute in Biostatistics,Life Sciences,Biostatistics
M. Bridget,Zimmerman,"Clinical Professor Director, Biostatistics Consulting Center",Life Sciences,Biostatistics
