firstName,lastName,rank,aggregateField,departmentInfo
Andrew,Forbes,"Professor, Biology",Life Sciences,Environmental Sciences
Jonathan,Adrain,"Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Marc,Armstrong,"Professor Emeritus, Geographical and Sustainability Sciences",Life Sciences,Environmental Sciences
David,Bennett,"Professor, Geographical and Sustainability Sciences",Life Sciences,Environmental Sciences
Christopher,Brochu,"Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Shamar,Chin,"Assistant Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Bradley,Cramer,Advisory Committee Member,Life Sciences,Environmental Sciences
Matt,Dannenberg,Advisory Committee Member,Life Sciences,Environmental Sciences
Jeffrey,Dorale,"Associate Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Emily,Finzel,"Academic Coordinator, Environmental Sciences Program",Life Sciences,Environmental Sciences
Tori,Forbes,"Professor, Chemistry",Life Sciences,Environmental Sciences
C. Tom,Foster,"Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Jane,Gilotti,"Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
James,Gloer,"Professor, Chemistry",Life Sciences,Environmental Sciences
Stephen,Hendrix,"Professor Emeritus, Biology",Life Sciences,Environmental Sciences
Erin,Irish,Advisory Committee Member,Life Sciences,Environmental Sciences
Johna,Leddy,"Associate Professor, Chemistry",Life Sciences,Environmental Sciences
Marc,Linderman,Advisory Committee Member,Life Sciences,Environmental Sciences
John,Logsdon,"Associate Professor, Biology",Life Sciences,Environmental Sciences
Leonard,MacGillivray,"Professor, Chemistry",Life Sciences,Environmental Sciences
Bryant,McAllister,"Associate Professor, Biology",Life Sciences,Environmental Sciences
Bill,McClelland,"Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Susan,Meerdink,"Assistant Professor, Geographical and Sustainability Sciences",Life Sciences,Environmental Sciences
Jessica,Meyer,"Assistant Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Maurine,Neiman,Advisory Committee Member,Life Sciences,Environmental Sciences
Valerie,Payré,"Assistant Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
David,Peate,"Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Mark,Reagan,"Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Heather,Sander,Advisory Committee Member,Life Sciences,Environmental Sciences
Betsy,Stone,"Professor, Chemistry",Life Sciences,Environmental Sciences
firstName,lastName,rank,aggregateField,departmentInfo
Amy,Strathman,Advisory Committee Member,Life Sciences,Environmental Sciences
Ben,Swanson,Advisory Committee Member,Life Sciences,Environmental Sciences
Kate,Tierney,Advisory Committee Member,Life Sciences,Environmental Sciences
Ingrid Ukstins,Peate,Adjunct Associate Professor,Life Sciences,Environmental Sciences
Frank,Weirich,"Associate Professor, Earth and Environmental Sciences",Life Sciences,Environmental Sciences
Hannah Whitcomb,DeHague,Senior Academic Advisor,Life Sciences,Environmental Sciences
firstName,lastName,rank,aggregateField,departmentInfo
