firstName,lastName,rank,aggregateField,departmentInfo
Ryan,Carnahan,Professor,Life Sciences,Epidemiology
Mary,Charlton,Professor,Life Sciences,Epidemiology
Margaret,Chorazy,Associate Dean for Academic AffairsClinical Associate Professor,Life Sciences,Epidemiology
Elizabeth,Chrischilles,"Professor and Head Department of EpidemiologyPomerantz Chair in Public HealthDirector, Health Effectiveness Research Center",Life Sciences,Epidemiology
Anjali,Deshpande,Clinical Associate Professor,Life Sciences,Epidemiology
Shoshannah,Eggers,Assistant Professor,Life Sciences,Epidemiology
Cara,Hamann,Associate Professor,Life Sciences,Epidemiology
Sarah,Nash,Assistant Professor,Life Sciences,Epidemiology
Nichole,Nidey,Assistant Professor,Life Sciences,Epidemiology
Michael,O’Rorke,Assistant Professor,Life Sciences,Epidemiology
Michael,Pentella,"Clinical ProfessorDirector, State Hygienic Laboratory",Life Sciences,Epidemiology
Christine,Petersen,Professor,Life Sciences,Epidemiology
Jonathan,Platt,Assistant Professor,Life Sciences,Epidemiology
Paul,Romitti,Professor,Life Sciences,Epidemiology
Linda,Snetselaar,"Professor and Chair, Preventive Nutrition EducationDirector, Nutrition Center",Life Sciences,Epidemiology
James,Torner,Professor,Life Sciences,Epidemiology
