firstName,lastName,rank,aggregateField,departmentInfo
Eric,Hunter,Department Executive Officer,Social Sciences,Communication Sciences and Disorders
"Nancy Almasi, SLP.D.,",CCC,Visiting Assistant Professor,Social Sciences,Communication Sciences and Disorders
Ishan,Bhatt,Associate Professor,Social Sciences,Communication Sciences and Disorders
"Jennifer Brodell, M.A.,",CCC,Clinical Assistant Professor,Social Sciences,Communication Sciences and Disorders
"Karen Bryant, Ph.D.,",CCC,Clinical Associate Professor,Social Sciences,Communication Sciences and Disorders
"Kellsie Busho,",Au.D.,"Clinical Assistant Professor, Audiology",Social Sciences,Communication Sciences and Disorders
Inyong,Choi,Associate Professor,Social Sciences,Communication Sciences and Disorders
"Philip Combiths, Ph.D.,",CCC,Assistant Professor,Social Sciences,Communication Sciences and Disorders
"Krista Davidson, M.S.,",CCC,Clinical Professor,Social Sciences,Communication Sciences and Disorders
"Stephanie Fleckenstein, Au.D.,",CCC,Clinical Associate Professor,Social Sciences,Communication Sciences and Disorders
"Meaghan Foody, M.S.,",CCC,Clinical Assistant Professor,Social Sciences,Communication Sciences and Disorders
"Shawn Goodman, Ph.D.,",CCC,Associate Professor,Social Sciences,Communication Sciences and Disorders
"Kristi Hendrickson, Ph.D.,",CCC,Assistant Professor,Social Sciences,Communication Sciences and Disorders
"Eun Kyung (Julie) Jeon, Ph.D.,",CCC,Clinical Assistant Professor,Social Sciences,Communication Sciences and Disorders
Mili,Kuruvilla,Associate Professor,Social Sciences,Communication Sciences and Disorders
"Alison Lemke, M.A., M.P.A.,",CCC,Visiting Assistant Professor,Social Sciences,Communication Sciences and Disorders
Stewart,McCauley,Assistant Professor,Social Sciences,Communication Sciences and Disorders
Bob,McMurray,"Professor, Communication Sciences and Disorders",Social Sciences,Communication Sciences and Disorders
Jacob,Michaelson,"Associate Professor, Communication Sciences and Disorders",Social Sciences,Communication Sciences and Disorders
"Louise Pinkerton, M.M., M.A.,",CCC,Clinical Assistant Professor,Social Sciences,Communication Sciences and Disorders
"Naomi Rodgers, Ph.D.,",CCC,Assistant Professor,Social Sciences,Communication Sciences and Disorders
Kelly Schmidt,Clay,Associate Professor of Instruction,Social Sciences,Communication Sciences and Disorders
"Laura Schmitt, M.S.,",CCC,Clinical Assistant Professor,Social Sciences,Communication Sciences and Disorders
"Anu Subramanian, Ph.D.,",CCC,Clinical Professor,Social Sciences,Communication Sciences and Disorders
Hayo,Terband,Assistant Professor,Social Sciences,Communication Sciences and Disorders
"Rich Tyler, Ph.D.,",CCC,"Professor, Communication Sciences and Disorders",Social Sciences,Communication Sciences and Disorders
"Elizabeth Walker, Ph.D.,",CCC,Associate Professor,Social Sciences,Communication Sciences and Disorders
Yu,,Professor,Social Sciences,Communication Sciences and Disorders
