firstName,lastName,rank,aggregateField,departmentInfo
Mary Hall,Reno,Departmental Chair,Physics,Physics
David R.,Andersen,Professor,Physics,Physics
Denis R.,Candido,Assistant Professor,Physics,Physics
Casey,DeRoo,Associate Professor,Physics,Physics
Adrian,Elcock,Professor,Physics,Physics
Michael E.,Flatté,Professor,Physics,Physics
Thomas,Folland,Assistant Professor,Physics,Physics
Hai,Fu,Associate Professor,Physics,Physics
Kenneth G.,Gayley,Associate Professor,Physics,Physics
John A.,Goree,Professor,Physics,Physics
Jasper S.,Halekas,Professor,Physics,Physics
Gregory G.,Howes,Professor,Physics,Physics
Allison N.,Jaynes,Director of Graduate Studies,Physics,Physics
Kenneth,Johnson,Visiting Assistant Professor,Physics,Physics
Cornelia C.,Lang,Professor,Physics,Physics
Yannick,Meurice,Professor,Physics,Physics
David M.,Miles,Associate Professor,Physics,Physics
Jane M.,Nachtman,Director of Undergraduate Studies,Physics,Physics
David,Nataf,Assistant Professor,Physics,Physics
Yasar,Onel,Professor,Physics,Physics
Wayne N.,Polyzou,Professor,Physics,Physics
John P.,Prineas,Professor,Physics,Physics
Craig E.,Pryor,Associate Professor,Physics,Physics
Vincent G.J.,Rodgers,Professor,Physics,Physics
Frederick N.,Skiff,Professor,Physics,Physics
Kory,Stiffler,Associate Professor of Instruction,Physics,Physics
John,Sunderland,Associate Professor,Physics,Physics
Fatima,Toor,Associate Professor,Physics,Physics
Ravitej,Uppu,Assistant Professor,Physics,Physics
Keith,Vidal,Visiting Assistant Professor,Physics,Physics
Jun,Wang,Professor,Physics,Physics
Markus,Wohlgenannt,Professor,Physics,Physics
