firstName,lastName,rank,aggregateField,departmentInfo
Oluwafemi,Adeagbo,Assistant Professor,Life Sciences,Community and Behavioral Health
Sato,Ashida,Professor,Life Sciences,Community and Behavioral Health
Natoshia,Askelson,Associate Professor,Life Sciences,Community and Behavioral Health
Paul,Gilbert,Associate ProfessorDirector of Graduate Studies,Life Sciences,Community and Behavioral Health
Ebonee,Johnson,Assistant Professor,Life Sciences,Community and Behavioral Health
Tricia,Kitzmann,Assistant Professor of Instruction,Life Sciences,Community and Behavioral Health
Nicole,Novak,Research Assistant Professor,Life Sciences,Community and Behavioral Health
Elizabeth E.,O’Neal,Assistant Professor,Life Sciences,Community and Behavioral Health
Edith A.,Parker,"DeanProfessor, Community and Behavioral Health",Life Sciences,Community and Behavioral Health
William T.,Story,Associate Professor,Life Sciences,Community and Behavioral Health
Mark Vander,Weg,Professor and Head,Life Sciences,Community and Behavioral Health
Shannon Lea,Watkins,Assistant Professor,Life Sciences,Community and Behavioral Health
